common_name,hindi_name,price,tag
Rose,गुलाब,200,flower
Tulip,ट्यूलिप,300,flower
Bamboo,बांस,100,tree
Mango Tree,आम का पेड़,500,tree
Lavender,लैवेंडर,150,flower
Hibiscus,गुड़हल,100,flower
Money Plant,पैसों का पौधा,50,indoor
Neem,नीम,100,tree
Tulsi,तुलसी,20,herb
Palm Tree,पॉम ट्री,500,tree
Marigold,गेंदा,50,flower
Bougainvillea,बूगेनविलिया,200,flower
Aloe Vera,घृतकुमारी,100,indoor
Jasmine,चमेली,150,flower
Cactus,कैक्टस,20,indoor
Poinsettia,पॉइंसेटिया,100,indoor
Banana Tree,केला पेड़,200,fruit
Chrysanthemum,शेवंती,50,flower
Orchid,ऑर्किड,200,flower
Pine,पाइन,300,tree
Lily,लिली,150,flower
Sunflower,सूरजमुखी,20,flower
Daisy,डेजी,20,flower
Peppermint,पेपरमिंट,20,herb
Cypress,सायप्रेस,200,tree
Gardenia,गार्डेनिया,150,flower
Peony,पियोनी,100,flower
Basil Thyme,बेसिल थाइम,20,herb
Freesia,फ्रेसिया,100,flower
Balsam Impatiens,बाल्सम इम्पेशेंस,50,flower
Oregano,ओरेगेनो,20,herb
Petunia,पेटूनिया,50,flower
Brahmi,ब्राह्मी,100,herb
Crocus,क्रोकस,20,flower
Zinnia,ज़िनिया,50,flower
Rhubarb,रूबार्ब,200,vegetable
Daffodil,डैफोडिल,100,flower
Basil Ocimum basilicum,बेसिल,20,herb
Morning Glory,मॉर्निंग ग्लोरी,20,flower
Chili Pepper,मिर्च,50,vegetable
Maple Tree,मेपल पेड़,200,tree
Geranium,जेरेनियम,100,flower
Parsley,पार्सली,20,herb
Iris,आईरिस,150,flower
Fern,फर्न,50,indoor
Cilantro,धनिया,20,herb
Dahlia,डेलिया,100,flower
Lemon Tree,नीमबू का पेड़,200,fruit
Tarragon,टैरेगोन,20,herb
Hollyhock,हॉलीहॉक,50,flower
African Violet,अफ्रीकन वायलेट,20,indoor
Gladiolus,ग्लैडियोलस,100,flower
Pumpkin,कद्दू,50,vegetable
